編號,英文,中文
1,absent,"(adj.6)缺席的,不在場的"
2,active,(adj.6)活躍的
3,alike,(adj.5)相似的
4,alive,(adj.5)活著的;活躍的
5,ancient,(adj.7)古代的
6,asleep,(adj.6)睡著的
7,backward,(adj.8)向後的;落後的
8,believable,(adj.10)可信的
9,bitter,(adj.6)苦的;嚴酷的
10,blank,"(adj.5)空白的;空的,無內容的;茫然的"
11,blind,(adj.5)瞎的
12,bloody,(adj.6)流血的
13,bony,(adj.4)骨的;似骨的
14,brief,(adj.5)短暫的
15,broad,(adj.5)寬廣的
16,calm,(adj.4)寧靜的
17,central,(adj.7)中央的
18,cheap,(adj.5)便宜的
19,chemical,(adj.8)化學的
20,childish,(adj.8)幼稚的
21,childlike,(adj.9)天真爛漫的
22,choice,"(adj.6)上等的,精選的;挑三揀四的"
23,classic,(adj.7)典型的;古典的
24,clever,(adj.6)聰明伶俐的
25,cloudy,(adj.6)多雲的;陰天的
26,colorful,(adj.8)富有色彩的
27,comfortable,(adj.11)舒適的
28,complete,(adj.8)完整的；徹底的
29,convenient,(adj.10)方便的
30,costly,(adj.6)昂貴的;代價高的
31,crazy,(adj.5)古怪的;著迷的
32,cream,"(adj.5)奶油色的,淡黃色的,乳黃色的"
33,cruel,(adj.5)殘酷的
34,curious,(adj.7)好奇的
35,daily,(adj.5)每日的
36,dangerous,(adj.9)危險的
37,deaf,(adj.4)聾的
38,delicious,(adj.9)好吃的
39,dishonest,(adj.9)不誠實的
40,distant,(adj.7)遠離的
41,dizzy,(adj.5)暈眩的
42,double,(adj.6)雙重的
43,downtown,(adj.8)城市商業區的
44,dull,(adj.4)晦暗的;無光澤的
45,dumb,(adj.4)愚笨的;啞的
46,eastern,(adj.7)東方的
47,effective,(adj.9)有效的
48,elder,(adj.5)年紀較長的
49,elect,"(adj.5)選定的,當選的"
50,entire,"(adj.6)全部的,整個的"
51,exact,"(adj.5)確切的,精確的"
52,excellent,(adj.9)非常好的
53,expensive,(adj.9)貴的
54,expert,"(adj.6)熟練的,老練的;專家的"
55,express,"(adj.7)快遞的,快運的;明確的"
56,extra,(adj.5)額外的
57,fair,(adj.4)公平的;美好的
58,famous,(adj.6)著名的
59,favorite,(adj.8)最喜愛的
60,fearful,(adj.7)可怕的;害怕的
61,female,(adj.6)女性的
62,firm,(adj.4)牢固的
63,fit,(adj.3)適合的;恰當的;相稱的;能勝任的
64,flat,(adj.4)平的
65,foggy,(adj.5)有霧的
66,following,"(adj.9)接著的,其次的;下面的"
67,foolish,(adj.7)愚蠢的
68,formal,(adj.6)正式的
69,former,(adj.6)前者
70,forward,(adj.7)前面的
71,frank,(adj.5)坦白的
72,friendly,(adj.8)友善的
73,further,(adj.7)較遠的;另外的
74,future,"(adj.6)未來的,將來的;將來(時)的"
75,generous,(adj.8)慷慨的
76,gentle,(adj.6)溫柔的
77,giant,(adj.5)巨大的
78,golden,(adj.6)金色的
79,grassy,(adj.6)長滿草的;似草的
80,greedy,(adj.6)貪心的
81,handsome,(adj.8)英俊的
82,hateful,(adj.7)可恨的;充滿憎恨的
83,healthy,(adj.7)健康的
84,helpful,(adj.7)有益的
85,homesick,(adj.8)想家的
86,honest,(adj.6)誠實的
87,humble,(adj.6)謙恭的;微賤的
88,humid,(adj.5)潮濕的
89,ill,(adj.3)生病的
90,independent,(adj.11)獨立的
91,instant,(adj.7)即時的
92,international,(adj.13)國際的
93,joint,(adj.5)接頭;連接
94,juicy,(adj.5)多汁的
95,latest,(adj.6)最新的;最近的;最遲的
96,legal,(adj.5)合法的
97,local,(adj.5)本地的
98,lone,(adj.4)孤單的;無伴的
99,lonely,(adj.6)寂寞的
100,lovely,(adj.6)動人的
101,magic,(adj.5)不可思議的;有魔力的
102,main,(adj.4)最主要的
103,male,(adj.4)男性的
104,measurable,(adj.10)可測量的;可預見的
105,military,(adj.8)軍事的
106,minus,"(adj.5)負的,減去的"
107,modern,(adj.6)現代的
108,movable,"(adj.7)可動的,可移動的"
109,naked,(adj.5)裸體的
110,narrow,(adj.6)窄的
111,national,(adj.8)國家的
112,natural,(adj.7)天然的
113,naughty,(adj.7)頑皮的
114,nearby,(adj.6)附近的
115,neat,(adj.4)整潔的;整齊的
116,necessary,(adj.9)需要的
117,negative,(adj.8)否定的;負面的
118,neither,(adj.7)兩者都不
119,northern,(adj.8)北方的;向北方的
120,novel,"(adj.5)新的,新穎的,新奇的"
121,official,"(adj.8)官方的,法定的"
122,ordinary,(adj.8)平常的
123,overseas,(adj.8)國外的
124,painful,(adj.7)痛的
125,particular,(adj.10)特殊的;
126,patient,"(adj.7)有耐心的,能忍受的"
127,peaceful,(adj.8)寧靜的;和平的
128,perfect,(adj.7)完美的
129,personal,(adj.8)個人的
130,pink,(adj.4)粉紅色的
131,plain,(adj.5)簡樸的;清楚的
132,playful,(adj.7)愛玩耍的;開玩笑的
133,pleasant,(adj.8)愉快的;美好的
134,plus,(adj.4)正的;外加的;有益的;陽性的;正電的
135,polite,(adj.6)有禮貌的
136,popular,(adj.7)流行的;受歡迎的
137,positive,(adj.8)正面的;確信的
138,powerful,(adj.8)強有力的
139,present,(adj.7)出席的;當前的;現在式的
140,principal,"(adj.9)主要的,首要的;資本的,本金的"
141,private,(adj.7)私人的
142,proud,(adj.5)感光榮的;驕傲的
143,rainy,(adj.5)下雨的;多雨的
144,rapid,(adj.5)迅速的
145,rare,(adj.4)罕見的
146,recent,(adj.6)最近的
147,regular,(adj.7)通常的;定期的
148,responsible,(adj.11)負責任的
149,rocky,(adj.5)岩石的;多岩石的
150,royal,(adj.5)皇家的
151,rude,(adj.4)無禮的
152,salty,(adj.5)有鹽分的;鹹味濃的
153,secret,"(adj.6)神祕的,奧祕的"
154,select,(adj.6)精選的;卓越的
155,separate,"(adj.8)單獨的,個別的"
156,serious,(adj.7)嚴肅的;嚴重的;認真的
157,shocked,(adj.7)震驚的
158,silent,(adj.6)寂靜的
159,similar,(adj.7)相似的
160,single,(adj.6)單一的;獨身的
161,skilled,(adj.7)熟練的;有技能的
162,skillful,"(adj.8)有技術的, 熟練的"
163,skinny,(adj.6)很瘦的
164,sleepy,(adj.6)想睡的
165,slender,(adj.7)纖細的
166,slim,(adj.4)細長的;微小的
167,snowy,(adj.5)似雪的;多雪的
168,social,(adj.6)社會的;交際的
169,southern,(adj.8)南方的;向南方的
170,square,(adj.6)正方形的
171,standard,(adj.8)一般性的
172,straight,(adj.8)直的
173,strict,"(adj.6)嚴謹的,精確的"
174,successful,(adj.10)成功的
175,sudden,(adj.6)突然的
176,sunny,(adj.5)晴朗的
177,talkative,(adj.9)好說話的
178,tasty,(adj.5)高雅的;大方的
179,teenage,(adj.7)十幾歲的
180,terrible,(adj.8)可怕的
181,terrific,(adj.8)非常好的;可怕的
182,thick,(adj.5)粗的;厚的
183,thin,(adj.4)瘦的
184,thirsty,(adj.7)口渴的
185,traditional,(adj.11)傳統的
186,ugly,(adj.4)醜的
187,uniform,"(adj.7)相同的,一致的;不變的"
188,upper,(adj.5)較高的
