編號,英文,中文
1,abrupt,(adj.6)突然的;意外的
2,absurd,(adj.6)荒謬的;愚蠢的
3,abundant,(adj.8)大量的;充足的; 豐富的
4,ace,(adj.3)第一流的;突出的
5,adolescent,(adj.10)青少年的;未成熟的
6,agricultural,(adj.12)農業的
7,airtight,(adj.8)密閉的;無懈可擊的
8,alien,(adj.5)外國的;外國人的
9,allergic,(adj.8)過敏的
10,alternate,(adj.9)輪流的
11,ample,(adj.5)大量的;充裕的
12,antique,(adj.7)年代久遠的;古董的
13,apt,(adj.3)易於...的;恰當的;聰明的
14,astray,(adj.6)迷路的;離開正道的
15,barbarian,(adj.9)野蠻(人)的
16,barefoot,(adj.8)赤腳的
17,barren,(adj.6)貧瘠的;荒蕪的;不妊的
18,bass,(adj.4)低沈的;男低音的
19,beloved,(adj.7)心愛的
20,beneficial,(adj.10)有益的;有利的
21,blond,(adj.5)白膚金髮碧眼的
22,blonde,(adj.6)白膚金髮碧眼的
23,bodily,(adj.6)肉體的;身體的;有形的
24,bronze,(adj.6)青銅製的;青銅色的
25,carefree,(adj.8)無憂無慮的;輕鬆愉快的
26,cautious,(adj.8)十分小心的;謹慎的
27,centigrade,(adj.10)攝氏的
28,chestnut,(adj.8)栗色的
29,chubby,(adj.6)圓胖的
30,civic,(adj.5)城市的;市民的
31,clockwise,(adj.9)順時針方向的;右旋的
32,colonial,(adj.8)殖民地的;殖民的
33,commonplace,(adj.11)平凡的;普通的
34,communist,(adj.9)共產主義的
35,compact,(adj.7)緊密的;結實的;小型的
36,compassionate,(adj.13)有同情心的;慈悲的
37,compound,"(adj.8)合成的,複合的"
38,considerate,(adj.11)體諒的
39,constitutional,(adj.14)憲法的;生來的
40,contagious,(adj.10)接觸傳染的;(感情等)感染性的
41,contemporary,(adj.12)當代的
42,continental,(adj.11)洲的;大陸的
43,coral,(adj.5)珊瑚的;珊瑚色的
44,corrupt,(adj.7)腐敗的;貪污的
45,counterclockwise,(adj.16)逆時針方向的
46,cowardly,(adj.8)膽小的;懦怯的
47,cozy,(adj.4)舒適的;愜意的
48,crystal,(adj.7)水晶的
49,descriptive,(adj.11)描寫的;描述性的
50,destructive,(adj.11)破壞的;毀滅性的
51,distinctive,(adj.11)有特色的;特殊的
52,downward,"(adj.8)向下的,下降的;日趨沒落的"
53,dreadful,(adj.8)可怕的
54,elaborate,"(adj.9)精心製作的;煞費苦心的,辛勤的"
55,enthusiastic,(adj.12)熱情的;熱烈的
56,erect,(adj.5)豎起的
57,eternal,(adj.7)永久的;永恆的
58,evergreen,(adj.9)常綠的;常青的
59,exceptional,(adj.11)例外的;異常的;特殊的
60,excess,(adj.6)過量的;額外的
61,executive,(adj.9)執行的;行政部門的
62,extensive,(adj.9)廣大的;廣闊的
63,exterior,(adj.8)外部的;外面的
64,external,(adj.8)外面的;外來的
65,extinct,(adj.7)(火等)熄滅了的;絕種的
66,extraordinary,(adj.13)異常的;特別的
67,federal,(adj.7)聯邦(制)的
68,feeble,(adj.6)虛弱的;軟弱的
69,feminine,(adj.8)女性的;女孩氣的;陰性的
70,forgetful,(adj.9)健忘的
71,foul,(adj.4)惡臭的;污濁的;惡劣的;犯規的
72,frantic,(adj.7)(因喜悅或憤怒等)發狂似的
73,gay,(adj.3)同性戀的
74,geographical,(adj.12)地理學的;地理的
75,gorgeous,(adj.8)燦爛的;華麗的;極好的
76,grim,(adj.4)無情的;嚴厲的;恐怖的
77,gross,(adj.5)總的;粗略的;令人噁心的
78,hardy,(adj.5)能吃苦耐勞的;(植物等)耐寒的
79,hearty,(adj.6)衷心的;健壯的;豐盛的
80,heavenly,(adj.8)天堂般的
81,heroic,(adj.6)英雄的;英勇的
82,heterosexual,(adj.12)異性戀的
