編號,英文,中文
1,absolute,(adj.8)絕對的;完全的
2,abstract,(adj.8)抽象的
3,academic,(adj.8)學術的
4,accidental,(adj.10)偶然的;意外的
5,acid,(adj.4)酸性的;有酸味的
6,adequate,(adj.8)足夠的
7,admirable,(adj.9)值得讚揚的;絕妙的
8,aggressive,"(adj.10)好鬥的,挑釁的;有進取精神的"
9,agreeable,(adj.9)欣然贊同的
10,alert,(adj.5)警惕的;機敏的
11,amateur,(adj.7)業餘的;外行的
12,ambitious,(adj.9)有野心的
13,annual,(adj.6)一年一次的;每年的
14,anxious,"(adj.7)焦慮的,掛念的"
15,appropriate,"(adj.11)適當的,恰當的"
16,artificial,(adj.10)人工的
17,artistic,(adj.8)藝術的
18,ashamed,(adj.7)羞愧的
19,associate,(adj.9)夥伴的;共事的;副的;聯合的
20,athletic,"(adj.8)運動的,體育的;行動敏捷的"
21,atomic,(adj.6)原子的
22,audio,"(adj.5)聽覺的,聲音的"
23,awkward,(adj.7)笨拙的;尷尬的
24,bald,(adj.4)禿頭的
25,bankrupt,(adj.8)破產的;已完全失敗的
26,broke,(adj.5)一文不名的;破了產的
27,brutal,(adj.6)野蠻的;粗暴的
28,characteristic,"(adj.14)特有的,獨特的"
29,circular,(adj.8)圓形的;環形的
30,civilian,(adj.8)百姓的;民用的
31,clumsy,(adj.6)笨拙的
32,coarse,"(adj.6)粗的,粗糙的"
33,comic,(adj.5)滑稽的
34,competitive,(adj.11)競爭的
35,concrete,(adj.8)具體的
36,consequent,(adj.10)隨之發生的
37,conservative,"(adj.12)保守的,守舊的"
38,consistent,"(adj.10)始終如一的,前後一致的"
39,constructive,(adj.12)建設性的;積極的;有助益的
40,content,(adj.7)滿意的;甘願的
41,continual,"(adj.9)不間斷的,連續的"
42,continuous,"(adj.10)連續的,不斷的"
43,contrary,"(adj.8)相反的,對立的"
44,conventional,"(adj.12)習慣的,慣例的"
45,cooperative,(adj.11)合作的;合作社的
46,copper,(adj.6)紅銅色的
47,counter,(adj.7)相反的;反對的;對立的
48,courageous,"(adj.10)英勇的,勇敢的"
49,courteous,(adj.9)有禮貌的
50,critical,"(adj.8)緊要的,關鍵性的,危急的"
51,cunning,"(adj.7)狡猾的,奸詐的"
52,damp,(adj.4)有濕氣的;潮濕的
53,defensible,(adj.10)可防禦的;可辯護的
54,defensive,(adj.9)防禦的
55,definite,"(adj.8)明確的,確切的"
56,delicate,(adj.8)易碎的;嬌貴的
57,delightful,"(adj.10)令人愉快的,令人高興的"
58,dense,"(adj.5)密集的,稠密的"
59,dependable,(adj.10)可靠的;可信任的
60,dependent,(adj.9)依靠的;依賴的
61,desperate,(adj.9)極度渴望的
62,detective,(adj.9)偵查用的;探測用的
63,digital,(adj.7)數字的
64,distinct,(adj.8)與其他不同的
65,distinguished,(adj.13)卓越的;著名的
66,divine,"(adj.6)神授的,天賜的"
67,dominant,"(adj.8)佔優勢的,支配的,統治的"
68,durable,"(adj.7)經久的,耐用的"
69,dusty,(adj.5)滿是灰塵的
70,dynamic,(adj.7)動態的
71,earnest,(adj.7)誠摯的;熱心的
72,economic,(adj.8)經濟上的;經濟學的
73,economical,"(adj.10)經濟的,節約的"
74,elastic,"(adj.7)有彈性的,有彈力的"
75,elegant,"(adj.7)優美的,漂亮的"
76,elementary,"(adj.10)基本的;初級的,基礎的"
77,emotional,(adj.9)易動情的
78,enormous,(adj.8)巨大的
79,envious,(adj.7)嫉妒的;羨慕的
80,essential,(adj.9)必要的;實質的
81,eventual,(adj.8)最後的;結果的
82,evident,(adj.7)明顯的;明白的
83,experimental,(adj.12)實驗性的;試驗性的
84,explosive,(adj.9)爆炸(性)的;爆發性的
85,facial,(adj.6)臉的;面部的
86,faithful,(adj.8)忠實的;忠誠的
87,fantastic,(adj.9)奇妙的
88,fatal,(adj.5)致命的
89,favorable,(adj.9)適合的
90,fertile,"(adj.7)(土地)肥沃的,富饒的;受精的"
91,fierce,(adj.6)兇猛的;殘酷的
92,financial,(adj.9)財政的;金融的
93,flexible,(adj.8)可彎曲的;可變通的
94,fluent,"(adj.6)流利的,流暢的"
95,fortunate,"(adj.9)幸運的,僥倖的"
96,fossil,(adj.6)化石的;守舊的
97,fragrant,(adj.8)香的
98,functional,(adj.10)機能的;實用的
99,fundamental,(adj.11)基礎的;根本的
100,furious,(adj.7)狂怒的
101,genuine,(adj.7)真的;非偽造的
102,gifted,"(adj.6)有天資的,有天賦的"
103,gigantic,"(adj.8)巨大的,龐大的"
104,glorious,"(adj.8)壯觀的,壯麗的"
105,graceful,"(adj.8)優美的,雅緻的"
106,gracious,(adj.8)親切的;和藹的
107,grammatical,(adj.11)文法的;合乎文法的
108,grateful,"(adj.8)感謝的,感激的"
109,grave,"(adj.5)嚴重的;嚴肅的,認真的"
110,greasy,(adj.6)油膩的
111,guilty,(adj.6)有罪的
112,habitual,(adj.8)習以為常的
113,harsh,(adj.5)粗糙的
114,healthful,(adj.9)有益於健康的
115,honorable,(adj.9)可尊敬的
116,hopeful,(adj.7)抱有希望的
117,identical,(adj.9)完全相同的
118,idle,(adj.4)無所事事的
119,ignorant,"(adj.8)無知的,不學無術的"
120,imaginable,(adj.10)能想像的
121,imaginary,(adj.9)虛構的;幻想的
122,imaginative,(adj.11)虛構的;幻想的
123,influential,(adj.11)有影響的
124,informative,(adj.11)教育性的;有益的
125,initial,"(adj.7)開始的,最初的"
126,intellectual,(adj.12)智力的
127,intelligent,(adj.11)有才智的
128,intense,"(adj.7)強烈的,劇烈的"
129,intensive,(adj.9)加強的;密集的
130,intermediate,"(adj.12)中等程度的,中級的"
131,intimate,"(adj.8)親密的,熟悉的"
132,junior,(adj.6)年紀較輕的;資淺的三年級(生)的
133,keen,(adj.4)熱心的;敏銳的;渴望的
134,lawful,(adj.6)合法的
135,lean,(adj.4)精瘦的;貧乏的
136,learned,"(adj.7)有學問的,博學的;精通的"
137,leisurely,"(adj.9)從容不迫的,悠閒的"
138,literary,"(adj.8)文學的,文藝的"
139,logical,(adj.7)合邏輯的;合理的
140,lousy,(adj.5)不潔的;卑鄙的;討厭的
141,loyal,"(adj.5)忠誠的,忠心的"
142,lunar,(adj.5)月的;陰曆的
143,luxurious,(adj.9)奢侈的;驕奢淫逸的
144,magnetic,(adj.8)磁鐵的;磁性的
145,magnificent,"(adj.11)壯麗的,宏偉的"
146,manual,(adj.6)用手操作的
147,maximum,(adj.7)最大限度的
148,mechanical,(adj.10)機械的
149,memorable,(adj.9)值得懷念的;難忘的
150,memorial,(adj.8)追悼的;記憶的
